"run_id","scenario_id","factor_name","design_partition","factor_value","task_type","n_train","n_test","p","q","latent_rank","class_count","max_ncomp","requested_prefixes","route","backend","svd_method","xprod","requested_oversample","requested_power","replicate","reference"
"20_ncomp_5__cpu_irlba_explicit__rep3","20_ncomp_5","ncomp","one_factor",5,"regression",2000,400,500,100,100,NA,5,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,3,TRUE
"20_ncomp_5__cuda_rsvd_auto__rep3","20_ncomp_5","ncomp","one_factor",5,"regression",2000,400,500,100,100,NA,5,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,3,FALSE
"21_ncomp_10__cpu_irlba_explicit__rep1","21_ncomp_10","ncomp","one_factor",10,"regression",2000,400,500,100,100,NA,10,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"21_ncomp_10__cuda_rsvd_auto__rep1","21_ncomp_10","ncomp","one_factor",10,"regression",2000,400,500,100,100,NA,10,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,1,FALSE
"21_ncomp_10__cpu_irlba_explicit__rep2","21_ncomp_10","ncomp","one_factor",10,"regression",2000,400,500,100,100,NA,10,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,2,TRUE
"21_ncomp_10__cuda_rsvd_auto__rep2","21_ncomp_10","ncomp","one_factor",10,"regression",2000,400,500,100,100,NA,10,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,2,FALSE
"21_ncomp_10__cpu_irlba_explicit__rep3","21_ncomp_10","ncomp","one_factor",10,"regression",2000,400,500,100,100,NA,10,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,3,TRUE
"21_ncomp_10__cuda_rsvd_auto__rep3","21_ncomp_10","ncomp","one_factor",10,"regression",2000,400,500,100,100,NA,10,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,3,FALSE
"22_ncomp_20__cpu_irlba_explicit__rep1","22_ncomp_20","ncomp","one_factor",20,"regression",2000,400,500,100,100,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,1,TRUE
"22_ncomp_20__cuda_rsvd_auto__rep1","22_ncomp_20","ncomp","one_factor",20,"regression",2000,400,500,100,100,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,1,FALSE
"22_ncomp_20__cpu_irlba_explicit__rep2","22_ncomp_20","ncomp","one_factor",20,"regression",2000,400,500,100,100,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,2,TRUE
"22_ncomp_20__cuda_rsvd_auto__rep2","22_ncomp_20","ncomp","one_factor",20,"regression",2000,400,500,100,100,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,2,FALSE
"22_ncomp_20__cpu_irlba_explicit__rep3","22_ncomp_20","ncomp","one_factor",20,"regression",2000,400,500,100,100,NA,20,1,"cpu_irlba_explicit","cpu","irlba","explicit",32,5,3,TRUE
"22_ncomp_20__cuda_rsvd_auto__rep3","22_ncomp_20","ncomp","one_factor",20,"regression",2000,400,500,100,100,NA,20,1,"cuda_rsvd_auto","cuda","rsvd","auto",NA,NA,3,FALSE
