"dataset","source","task_type","condition","seed","solver","randomized_seed","rsvd_oversample","rsvd_power","ncomp","fastpls_cv_metric","reference_cv_metric"
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",43,20,2,2,0.540783614901262,0.540783614901262
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",43,20,2,3,0.522409662409662,0.522409662409662
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",43,20,2,4,0.483663702487232,0.483663702487232
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",43,20,2,5,0.405285557050263,0.405285557050263
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",123,20,2,1,0.361115672880379,0.361115672880379
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",123,20,2,2,0.540783614901262,0.540783614901262
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",123,20,2,3,0.522409662409662,0.522409662409662
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",123,20,2,4,0.483663702487232,0.483663702487232
"syn_cls_ill_conditioned","synthetic","classification","ill_conditioned",101,"rsvd",123,20,2,5,0.405285557050263,0.405285557050263
"Breast","real","classification","p_greater_than_n",123,"irlba",NA,NA,NA,1,0.8,0.8
"Breast","real","classification","p_greater_than_n",123,"irlba",NA,NA,NA,2,0.98,0.98
"Breast","real","classification","p_greater_than_n",123,"irlba",NA,NA,NA,3,0.973333333333333,0.973333333333333
"Breast","real","classification","p_greater_than_n",123,"irlba",NA,NA,NA,5,0.953333333333333,0.953333333333333
"Breast","real","classification","p_greater_than_n",123,"irlba",NA,NA,NA,8,0.946666666666667,0.946666666666667
"Breast","real","classification","p_greater_than_n",123,"rsvd",1,20,2,1,0.8,0.8
"Breast","real","classification","p_greater_than_n",123,"rsvd",1,20,2,2,0.98,0.98
"Breast","real","classification","p_greater_than_n",123,"rsvd",1,20,2,3,0.973333333333333,0.973333333333333
"Breast","real","classification","p_greater_than_n",123,"rsvd",1,20,2,5,0.953333333333333,0.953333333333333
"Breast","real","classification","p_greater_than_n",123,"rsvd",1,20,2,8,0.946666666666667,0.946666666666667
"Breast","real","classification","p_greater_than_n",123,"rsvd",7,20,2,1,0.8,0.8
"Breast","real","classification","p_greater_than_n",123,"rsvd",7,20,2,2,0.98,0.98
"Breast","real","classification","p_greater_than_n",123,"rsvd",7,20,2,3,0.973333333333333,0.973333333333333
"Breast","real","classification","p_greater_than_n",123,"rsvd",7,20,2,5,0.953333333333333,0.953333333333333
"Breast","real","classification","p_greater_than_n",123,"rsvd",7,20,2,8,0.946666666666667,0.946666666666667
"Breast","real","classification","p_greater_than_n",123,"rsvd",19,20,2,1,0.8,0.8
"Breast","real","classification","p_greater_than_n",123,"rsvd",19,20,2,2,0.98,0.98
"Breast","real","classification","p_greater_than_n",123,"rsvd",19,20,2,3,0.973333333333333,0.973333333333333
