"dataset","method","classifier","backend","svd_method","outer_index","outer_seed","n_total","n_outer_train","n_outer_test","p","q","inner_kfold","component_grid","effective_component_grid","grid_min","grid_max","effective_grid_min","effective_grid_max","selected_ncomp","selected_lower_boundary","selected_upper_boundary","upper_grid_rank_constrained","metric_name","metric_value","accuracy","RMSD","Q2","selection_time_sec","final_fit_prediction_time_sec","total_time_sec","status","error"
"retina","simpls","argmax","cpu","rsvd",9,907,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,40,FALSE,FALSE,FALSE,"accuracy",0.968213250055766,0.968213250055766,NA,0.844161376273773,1.21899999999999,0.0550000000000068,1.274,"ok",NA
"retina","simpls","argmax","cpu","rsvd",10,1009,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,30,FALSE,FALSE,FALSE,"accuracy",0.967320990408209,0.967320990408209,NA,0.844295077935575,1.274,0.0529999999999973,1.327,"ok",NA
"retina","simpls","lda","cpu","rsvd",1,101,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,50,FALSE,TRUE,FALSE,"accuracy",0.968436314967656,0.968436314967656,NA,NA,1.456,0.128,1.584,"ok",NA
"retina","simpls","lda","cpu","rsvd",2,211,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,20,FALSE,FALSE,FALSE,"accuracy",0.968659379879545,0.968659379879545,NA,NA,1.434,0.070999999999998,1.505,"ok",NA
"retina","simpls","lda","cpu","rsvd",3,307,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,40,FALSE,FALSE,FALSE,"accuracy",0.971113093910328,0.971113093910328,NA,NA,1.475,0.103999999999999,1.579,"ok",NA
"retina","simpls","lda","cpu","rsvd",4,401,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,50,FALSE,TRUE,FALSE,"accuracy",0.969217042159268,0.969217042159268,NA,NA,1.44,0.131,1.571,"ok",NA
"retina","simpls","lda","cpu","rsvd",5,503,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,20,FALSE,FALSE,FALSE,"accuracy",0.96520187374526,0.96520187374526,NA,NA,1.445,0.0679999999999978,1.513,"ok",NA
"retina","simpls","lda","cpu","rsvd",6,601,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,30,FALSE,FALSE,FALSE,"accuracy",0.968659379879545,0.968659379879545,NA,NA,1.444,0.0850000000000009,1.529,"ok",NA
"retina","simpls","lda","cpu","rsvd",7,701,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,20,FALSE,FALSE,FALSE,"accuracy",0.9685478474236,0.9685478474236,NA,NA,1.471,0.0679999999999978,1.539,"ok",NA
"retina","simpls","lda","cpu","rsvd",8,809,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,20,FALSE,FALSE,FALSE,"accuracy",0.969663171983047,0.969663171983047,NA,NA,1.441,0.0689999999999955,1.51,"ok",NA
"retina","simpls","lda","cpu","rsvd",9,907,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,20,FALSE,FALSE,FALSE,"accuracy",0.969105509703324,0.969105509703324,NA,NA,1.457,0.0670000000000002,1.524,"ok",NA
"retina","simpls","lda","cpu","rsvd",10,1009,44808,35842,8966,50,12,5,"2;5;10;20;30;40;50","2;5;10;20;30;40;50",2,50,2,50,30,FALSE,FALSE,FALSE,"accuracy",0.9685478474236,0.9685478474236,NA,NA,1.441,0.0830000000000055,1.52400000000001,"ok",NA
