"family","setting","case","task","component","fold","fast_metric","reference_metric","status","error"
"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_lt_n","regression",4,4,1.59878962584261,1.59878962584261,"success",NA
"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_lt_n","regression",4,5,2.03141545556052,2.03141545556052,"success",NA
"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_lt_n","regression",5,1,1.65278235927997,1.65278235927997,"success",NA
"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_lt_n","regression",5,2,1.47519719701266,1.47519719701266,"success",NA
"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_lt_n","regression",5,3,1.56287961789939,1.56287961789939,"success",NA
"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_lt_n","regression",5,4,1.45824661947904,1.45824661947904,"success",NA
"kernelPLS","rbf_gamma_4_over_p","synthetic_regression_p_lt_n","regression",5,5,1.98814380369139,1.98814380369139,"success",NA
"kernelPLS","poly_degree2_offset1","synthetic_regression_p_lt_n","regression",1,1,1.89900993575336,1.89900993575336,"success",NA
"kernelPLS","poly_degree2_offset1","synthetic_regression_p_lt_n","regression",1,2,1.76612102361219,1.76612102361219,"success",NA
"kernelPLS","poly_degree2_offset1","synthetic_regression_p_lt_n","regression",1,3,2.00185405834821,2.00185405834821,"success",NA
"kernelPLS","poly_degree2_offset1","synthetic_regression_p_lt_n","regression",1,4,1.88943900140771,1.88943900140771,"success",NA
"kernelPLS","poly_degree2_offset1","synthetic_regression_p_lt_n","regression",1,5,2.17824355166035,2.17824355166035,"success",NA
"kernelPLS","poly_degree2_offset1","synthetic_regression_p_lt_n","regression",2,1,1.49756247375076,1.49756247375076,"success",NA
"kernelPLS","poly_degree2_offset1","synthetic_regression_p_lt_n","regression",2,2,1.32379133046011,1.32379133046011,"success",NA
"kernelPLS","poly_degree2_offset1","synthetic_regression_p_lt_n","regression",2,3,1.44058790276372,1.44058790276372,"success",NA
"kernelPLS","poly_degree2_offset1","synthetic_regression_p_lt_n","regression",2,4,1.5861421926332,1.5861421926332,"success",NA
"kernelPLS","poly_degree2_offset1","synthetic_regression_p_lt_n","regression",2,5,1.69468383462631,1.69468383462631,"success",NA
"kernelPLS","poly_degree2_offset1","synthetic_regression_p_lt_n","regression",3,1,1.26148876477113,1.26148876477113,"success",NA
"kernelPLS","poly_degree2_offset1","synthetic_regression_p_lt_n","regression",3,2,1.21445048611464,1.21445048611464,"success",NA
"kernelPLS","poly_degree2_offset1","synthetic_regression_p_lt_n","regression",3,3,1.28692121241379,1.28692121241379,"success",NA
"kernelPLS","poly_degree2_offset1","synthetic_regression_p_lt_n","regression",3,4,1.1905177980197,1.1905177980197,"success",NA
"kernelPLS","poly_degree2_offset1","synthetic_regression_p_lt_n","regression",3,5,1.52459363062589,1.52459363062589,"success",NA
"kernelPLS","poly_degree2_offset1","synthetic_regression_p_lt_n","regression",4,1,0.966065495393669,0.966065495393669,"success",NA
"kernelPLS","poly_degree2_offset1","synthetic_regression_p_lt_n","regression",4,2,0.968747352885152,0.968747352885152,"success",NA
"kernelPLS","poly_degree2_offset1","synthetic_regression_p_lt_n","regression",4,3,0.918319236168936,0.918319236168936,"success",NA
"kernelPLS","poly_degree2_offset1","synthetic_regression_p_lt_n","regression",4,4,0.990571982237915,0.990571982237915,"success",NA
"kernelPLS","poly_degree2_offset1","synthetic_regression_p_lt_n","regression",4,5,1.12491399554181,1.12491399554181,"success",NA
"kernelPLS","poly_degree2_offset1","synthetic_regression_p_lt_n","regression",5,1,0.672115348744229,0.672115348744229,"success",NA
"kernelPLS","poly_degree2_offset1","synthetic_regression_p_lt_n","regression",5,2,0.677661461028732,0.677661461028732,"success",NA
"kernelPLS","poly_degree2_offset1","synthetic_regression_p_lt_n","regression",5,3,0.558007864501545,0.558007864501545,"success",NA
"kernelPLS","poly_degree2_offset1","synthetic_regression_p_lt_n","regression",5,4,0.577632651330562,0.577632651330562,"success",NA
"kernelPLS","poly_degree2_offset1","synthetic_regression_p_lt_n","regression",5,5,0.827123451414255,0.827123451414255,"success",NA
"kernelPLS","poly_degree3_offset1","synthetic_regression_p_lt_n","regression",1,1,1.91361633070652,1.91361633070652,"success",NA
"kernelPLS","poly_degree3_offset1","synthetic_regression_p_lt_n","regression",1,2,1.774943586306,1.774943586306,"success",NA
"kernelPLS","poly_degree3_offset1","synthetic_regression_p_lt_n","regression",1,3,2.02673349202249,2.02673349202249,"success",NA
"kernelPLS","poly_degree3_offset1","synthetic_regression_p_lt_n","regression",1,4,1.90487383221161,1.90487383221161,"success",NA
"kernelPLS","poly_degree3_offset1","synthetic_regression_p_lt_n","regression",1,5,2.21625900090609,2.21625900090609,"success",NA
"kernelPLS","poly_degree3_offset1","synthetic_regression_p_lt_n","regression",2,1,1.56834268957782,1.56834268957782,"success",NA
"kernelPLS","poly_degree3_offset1","synthetic_regression_p_lt_n","regression",2,2,1.37007574264543,1.37007574264543,"success",NA
"kernelPLS","poly_degree3_offset1","synthetic_regression_p_lt_n","regression",2,3,1.54192068072724,1.54192068072724,"success",NA
"kernelPLS","poly_degree3_offset1","synthetic_regression_p_lt_n","regression",2,4,1.64870452578948,1.64870452578948,"success",NA
"kernelPLS","poly_degree3_offset1","synthetic_regression_p_lt_n","regression",2,5,1.84079515009305,1.84079515009305,"success",NA
"kernelPLS","poly_degree3_offset1","synthetic_regression_p_lt_n","regression",3,1,1.31187212936656,1.31187212936656,"success",NA
"kernelPLS","poly_degree3_offset1","synthetic_regression_p_lt_n","regression",3,2,1.26038532295185,1.26038532295185,"success",NA
"kernelPLS","poly_degree3_offset1","synthetic_regression_p_lt_n","regression",3,3,1.3518402991774,1.3518402991774,"success",NA
"kernelPLS","poly_degree3_offset1","synthetic_regression_p_lt_n","regression",3,4,1.23192549509026,1.23192549509026,"success",NA
"kernelPLS","poly_degree3_offset1","synthetic_regression_p_lt_n","regression",3,5,1.59657776386624,1.59657776386624,"success",NA
"kernelPLS","poly_degree3_offset1","synthetic_regression_p_lt_n","regression",4,1,1.15201140255161,1.15201140255161,"success",NA
"kernelPLS","poly_degree3_offset1","synthetic_regression_p_lt_n","regression",4,2,1.08320444702406,1.08320444702406,"success",NA
"kernelPLS","poly_degree3_offset1","synthetic_regression_p_lt_n","regression",4,3,1.04777532712028,1.04777532712028,"success",NA
"kernelPLS","poly_degree3_offset1","synthetic_regression_p_lt_n","regression",4,4,1.14914690067407,1.14914690067407,"success",NA
"kernelPLS","poly_degree3_offset1","synthetic_regression_p_lt_n","regression",4,5,1.21196108951871,1.21196108951871,"success",NA
"kernelPLS","poly_degree3_offset1","synthetic_regression_p_lt_n","regression",5,1,0.947771693240235,0.947771693240235,"success",NA
"kernelPLS","poly_degree3_offset1","synthetic_regression_p_lt_n","regression",5,2,0.89194262839726,0.891942628397259,"success",NA
"kernelPLS","poly_degree3_offset1","synthetic_regression_p_lt_n","regression",5,3,0.799925634461319,0.799925634461319,"success",NA
"kernelPLS","poly_degree3_offset1","synthetic_regression_p_lt_n","regression",5,4,0.875013271379361,0.875013271379362,"success",NA
"kernelPLS","poly_degree3_offset1","synthetic_regression_p_lt_n","regression",5,5,0.946824602044998,0.946824602044998,"success",NA
"kernelPLS","poly_degree4_offset1","synthetic_regression_p_lt_n","regression",1,1,1.96806557829189,1.96806557829188,"success",NA
"kernelPLS","poly_degree4_offset1","synthetic_regression_p_lt_n","regression",1,2,1.8096853323918,1.8096853323918,"success",NA
"kernelPLS","poly_degree4_offset1","synthetic_regression_p_lt_n","regression",1,3,2.04882501393998,2.04882501393998,"success",NA
